State,Original,Original s.e.,Adjusted,Adjusted s.e.,ADI,ADI s.e.,State ADI,State ADI s.e.,SDI,SDI s.e.,State SDI,State SDI s.e.,Mobility,Mobility s.e.
New Mexico,20.85,0.52,21.90,0.50,20.72,0.51,19.76,0.51,19.53,0.51,19.82,0.51,18.50,0.53
New York,16.09,0.15,20.27,0.15,18.91,0.16,18.46,0.16,20.75,0.15,18.34,0.15,20.45,0.15
North Carolina,14.42,0.21,13.41,0.21,14.16,0.21,14.34,0.22,14.86,0.21,15.29,0.21,14.44,0.23
North Dakota,8.06,0.48,8.16,0.47,8.79,0.49,9.57,0.47,8.25,0.47,9.86,0.45,7.31,0.47
Ohio,14.78,0.18,16.06,0.18,14.71,0.18,14.08,0.18,14.47,0.19,14.65,0.19,14.09,0.19
Oklahoma,13.34,0.24,16.21,0.26,15.71,0.27,15.16,0.27,15.05,0.25,15.96,0.27,14.55,0.25
Oregon,12.36,0.30,12.39,0.30,13.17,0.30,14.32,0.29,13.62,0.30,14.57,0.29,13.02,0.29
Pennsylvania,14.24,0.16,14.08,0.17,13.48,0.16,13.59,0.16,13.79,0.15,14.10,0.16,13.48,0.15
Rhode Island,13.53,0.62,13.53,0.62,14.14,0.60,15.42,0.61,17.59,0.65,15.65,0.61,16.29,0.61
South Carolina,13.52,0.25,15.87,0.27,15.67,0.27,15.08,0.27,15.04,0.26,15.74,0.27,14.52,0.28
South Dakota,10.67,0.46,11.87,0.44,12.04,0.47,12.57,0.46,11.74,0.43,12.46,0.43,10.89,0.46
Tennessee,16.80,0.25,16.49,0.24,16.15,0.23,16.00,0.24,16.23,0.24,16.61,0.25,15.75,0.25
Texas,18.29,0.13,17.32,0.13,17.61,0.15,16.55,0.15,17.51,0.15,17.14,0.14,17.21,0.14
Utah,7.72,0.26,7.78,0.26,8.25,0.26,9.42,0.28,8.15,0.26,10.01,0.28,7.62,0.26
Vermont,10.74,0.56,10.74,0.56,10.83,0.56,12.13,0.61,10.97,0.56,11.97,0.59,9.86,0.56
Virginia,10.50,0.20,11.53,0.20,11.14,0.21,12.07,0.21,11.24,0.20,12.71,0.22,10.84,0.21
Washington,10.30,0.19,10.51,0.19,11.08,0.19,12.71,0.20,11.29,0.19,12.63,0.20,10.91,0.19
West Virginia,15.81,0.46,16.84,0.49,18.01,0.50,17.31,0.48,16.28,0.49,17.64,0.49,15.31,0.48
Wisconsin,12.45,0.19,11.59,0.18,10.56,0.19,11.58,0.20,11.04,0.18,11.92,0.18,10.68,0.19
Wyoming,8.72,0.65,8.72,0.65,9.24,0.65,10.08,0.67,8.72,0.65,10.49,0.72,7.42,0.66
